VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,    "probe_u1"    ,    "probe_u2"    ,    "probe_u3"    ,    "probe_u4"    ,    "probe_u5"    ,    "probe_v1"    ,    "probe_v2"    ,    "probe_v3"    ,    "probe_v4"    ,    "probe_v5"    ,    "probe_w1"    ,    "probe_w2"    ,    "probe_w3"    ,    "probe_w4"    ,    "probe_w5"    ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoW]"  ,  "relrms[RhoE]"  
         10,           0,          99,      -8.537234177,      -7.025161493,      -7.077531818,      -7.004382547,      -3.015785793,       362.5755528,       2.002629527,  -3.282931895e-05,   0.0001517087133,   2.487808075e-08,  -0.0001748763974,  -0.0009105110318,       2.002629527,   0.0001517087133,  -3.282931895e-05,  -1.639310641e-05,              -nan,       367.3160507,       366.8849389,       366.9051599,       366.8297073,       366.9259308,      0.5641343238,       0.350447788,       0.517883457,       2.382842252,       2.642500838,       0.129081439,     0.08645958088,    -0.03635646423,     -0.0471357098,     0.03218885049,      -3.451296703,      -4.355833069,      -4.233349129,      -4.160600535,      -3.391339519
         11,           0,          99,      -8.454722508,      -7.017402249,      -7.021676644,      -6.944558067,      -2.954856334,       362.5755528,        1.94334513,  -4.456454056e-05,   0.0001142130142,   8.983426418e-09,  -0.0002396914222,  -0.0006946165097,        1.94334513,   0.0001142130142,  -4.456454056e-05,  -2.293187138e-05,              -nan,        367.298825,        366.874782,       366.8895803,        366.786531,       366.8883668,      0.4709913223,      0.5981192092,       0.144558574,       1.428889928,       2.563325731,      0.1046824571,      0.0945268758,    -0.02537114467,    -0.04033591044,     0.03135775916,      -3.410380122,      -4.380920286,      -4.227613074,      -4.151256716,      -3.368987632
         12,           0,          99,       -8.45945022,       -7.07238555,      -7.070216125,      -6.974401096,      -3.000856651,       362.5755528,       1.957427723,  -3.961340394e-05,    9.03238401e-05,   5.089510071e-09,  -0.0002208865725,  -0.0005534250166,       1.957427723,    9.03238401e-05,  -3.961340394e-05,  -2.023747976e-05,              -nan,       367.1835397,       366.7836937,       366.7927637,       366.6808887,       366.8130977,      0.4106047634,      0.6972667348,      0.2169949287,      0.5786676441,       2.016131448,     0.09851938746,     0.09623537058,    -0.01776920126,    -0.03353430674,     0.01968411642,      -3.452515902,       -4.46946428,      -4.321947694,      -4.226374824,      -3.450242244
         13,           0,          99,      -8.523866783,      -6.933961239,      -7.016138678,      -6.965614529,      -3.104596277,       362.5755528,       2.001882356,  -4.104561249e-05,   5.208178547e-05,   9.050611492e-09,   -0.000241272961,  -0.0003198086445,       2.001882356,   5.208178547e-05,  -4.104561249e-05,  -2.050350879e-05,              -nan,        366.841936,       366.4950147,       366.5082018,       366.4192883,       366.6270268,      0.3677187396,      0.6159374186,       0.402725536,      0.1117819696,       1.160203358,      0.0963953234,     0.09301836285,   -0.007849923301,    -0.03087819482,    0.003334083568,      -3.548972277,      -4.365691754,      -4.308520762,      -4.257855429,      -3.585152721
         14,           0,          99,      -8.600871794,      -6.804736674,      -6.972026806,      -6.940527555,      -3.214947619,       362.5755528,       2.043019721,  -4.324237195e-05,   6.159317864e-05,   1.436686714e-08,  -0.0002741539349,  -0.0003616218375,       2.043019721,   6.159317864e-05,  -4.324237195e-05,   -2.11659102e-05,              -nan,       366.0516567,       365.8117303,       365.8665497,       365.8437858,       366.2161875,      0.2947655979,      0.4122964831,      0.3936351911,    -0.06365972437,      0.2890716086,     0.08909920747,     0.08431582983,    0.003316992915,    -0.02830543855,     -0.0142467565,      -3.655173785,      -4.272193187,      -4.300137071,      -4.268460263,      -3.724208015
         15,           0,          99,      -8.678036817,      -7.076887589,      -7.190310787,      -7.140635664,      -3.320332231,       362.5755528,       2.065751004,  -3.496259373e-05,    5.78725885e-05,   1.392507803e-08,   -0.000246181768,   -0.000330236218,       2.065751004,    5.78725885e-05,  -3.496259373e-05,  -1.692488284e-05,              -nan,       364.5202128,       364.4671049,        364.630769,       364.7450498,       365.4170027,      0.1471366614,     0.09644736361,     0.05983015071,     -0.2540194548,     -0.4420365712,     0.07800855625,     0.07134618835,     0.01612858959,    -0.02341852777,    -0.02655381076,      -3.759559009,      -4.580206266,      -4.551337927,      -4.501993486,      -3.856782642
         16,           0,          99,      -8.731987858,      -7.289259811,      -7.343353506,      -7.279723003,      -3.392212207,       362.5755528,        2.06823668,   1.223086535e-05,   5.029301092e-05,   1.108060394e-08,   1.290492303e-06,  -0.0002878937897,        2.06823668,   5.029301092e-05,   1.223086535e-05,   5.913668135e-06,              -nan,       361.9512032,       362.1853529,       362.5417234,         362.89386,       364.0407324,      -0.129634933,     -0.4076175792,      -0.623447575,     -0.8127269239,      -1.131137606,     0.06770580909,     0.05661838923,     0.02850398839,    -0.01146080816,    -0.03234278646,      -3.838701316,      -4.826909414,       -4.73469352,      -4.671936979,      -3.954162383
         17,           0,          99,      -8.774076855,      -7.419398498,      -7.409023361,      -7.338124887,      -3.444206538,       362.5755528,       2.056107715,    6.99712346e-05,   5.761009809e-05,   8.139265911e-10,   0.0003107397389,  -0.0003403440608,       2.056107715,   5.761009809e-05,    6.99712346e-05,   3.403091876e-05,              -nan,       358.1581214,       358.7766882,       359.4092553,       360.1188432,       361.9170881,     -0.5962165735,      -1.211331469,      -1.688138746,        -1.9644976,      -2.068005923,     0.06129061569,     0.04104742091,     0.03903069108,     0.00976220606,    -0.03785449218,      -3.903929851,      -4.989448525,      -4.828522237,       -4.75871061,      -4.029749678
         18,           0,          99,      -8.803630569,      -7.442425779,      -7.438342457,      -7.365329229,      -3.479888379,       362.5755528,       2.035923317,   0.0001467503166,   7.286101538e-05,   2.804101203e-09,   0.0007244864277,  -0.0004344379341,       2.035923317,   7.286101538e-05,   0.0001467503166,   7.208047345e-05,              -nan,       353.1513537,       354.2367976,       355.2117643,       356.3910819,       358.9772204,      -1.304283268,      -2.399351625,      -3.193336657,      -3.784118551,      -3.555323027,     0.05990196472,     0.02545204635,     0.04894157012,     0.04098363975,    -0.04921939083,      -3.955201004,      -5.042397379,      -4.883904047,      -4.811445588,      -4.087584393
         19,           0,          99,      -8.808041708,      -7.465865171,      -7.458845317,      -7.380649258,      -3.483369597,       362.5755528,       2.008461916,   0.0001893032816,   9.638444798e-05,   1.950322958e-09,   0.0009519881204,  -0.0005650185819,       2.008461916,   9.638444798e-05,   0.0001893032816,   9.425286091e-05,              -nan,       347.2491443,       348.8258156,        350.173386,       351.8910814,       355.3071876,      -2.279081261,      -3.992453576,      -5.169220954,      -6.219000468,      -5.761621067,     0.06206152044,     0.01005739469,       0.060337513,     0.08158016619,    -0.06968580833,      -3.979336716,       -5.09334164,      -4.927985277,      -4.849565057,      -4.111329671
         20,           0,          99,      -8.768658657,      -7.445882906,      -7.435756255,      -7.342534463,      -3.418088979,       362.5755528,        1.96599868,   0.0001711756263,   0.0001220235424,  -1.090806998e-11,   0.0008504483463,  -0.0006901912796,        1.96599868,   0.0001220235424,   0.0001711756263,   8.706802707e-05,              -nan,       341.1045231,       343.1038424,       344.7917345,       347.0364068,       351.1811081,      -3.491090003,      -5.922076491,      -7.549176495,      -9.125017596,      -8.655070982,      0.0657877929,   -0.005352774146,     0.07513547409,      0.1286933819,    -0.09939290471,      -3.957942448,      -5.098321844,      -4.925876745,      -4.831969177,      -4.064395931
         21,           0,          99,      -8.696074704,      -7.343353992,      -7.363188766,      -7.266087982,      -3.309411268,       362.5755528,       1.900474355,   0.0001655834561,   0.0001107144105,     8.0368946e-09,   0.0008169854166,  -0.0006065844186,       1.900474355,   0.0001107144105,   0.0001655834561,   8.712743517e-05,              -nan,       335.6755322,       337.9007762,       339.8109038,       342.4591353,       347.0487794,      -4.833525031,      -8.008829811,      -10.12777962,       -12.2558325,      -12.01349718,     0.07092005072,    -0.02130876873,     0.09413502981,      0.1772162552,     -0.1364163526,      -3.901902288,      -5.018693813,      -4.872085429,        -4.7743218,      -3.972717989
         22,           0,          99,      -8.644136092,      -7.343003604,      -7.319701982,      -7.216434596,      -3.238257977,       362.5755528,       1.823355795,   0.0001632271555,   5.791849644e-05,   1.303271332e-08,   0.0007980615925,  -0.0003037267477,       1.823355795,   5.791849644e-05,   0.0001632271555,   8.952018909e-05,              -nan,       332.0881586,       334.2167922,       336.1237801,       338.9117893,       343.4894967,       -6.10618466,      -9.950593083,       -12.5518113,      -15.23894372,      -15.46062801,     0.07645585171,    -0.03753349344,      0.1151771731,      0.2233018773,      -0.174449448,      -3.865632245,      -5.039865363,      -4.845903604,      -4.742088522,      -3.917643327
         23,           0,          99,      -8.647989901,      -7.365591939,      -7.332957882,      -7.221928294,      -3.245163721,       362.5755528,       1.764912182,   0.0001562448616,  -1.417691109e-05,   1.843902305e-08,   0.0007595779636,   7.833080704e-05,       1.764912182,  -1.417691109e-05,   0.0001562448616,   8.852840562e-05,              -nan,       331.3678151,       332.9856414,       334.5836796,       337.1220765,       341.1122093,      -7.021680161,      -11.34513047,      -14.35651786,      -17.58255212,      -18.51019431,     0.08086570264,      -0.052437155,      0.1294211622,      0.2602339614,     -0.2085732804,      -3.883788687,      -5.082653155,      -4.875472658,      -4.763438304,      -3.939433583
         24,           0,          99,      -8.705298482,      -7.432866971,      -7.394808389,      -7.293742641,       -3.32966804,       362.5755528,       1.746061282,   0.0001514908435,  -5.691212793e-05,   2.127146364e-08,   0.0007294524634,   0.0002869300743,       1.746061282,  -5.691212793e-05,   0.0001514908435,   8.676146997e-05,              -nan,       333.9820162,       334.7336777,       335.6993954,        337.548086,       340.4007616,      -7.295271207,      -11.79624717,      -15.06542757,      -18.75915629,      -20.62636833,     0.08169017521,    -0.06190537954,      0.1387018572,      0.2799046372,     -0.2306963084,       -3.95440284,      -5.168437883,      -4.952202158,      -4.850045836,      -4.037760932
         25,           0,          46,      -8.749170406,      -6.464038122,      -6.757351318,      -6.750424101,      -3.398730796,       362.5755528,       1.764427015,   0.0001561863254,  -6.467641077e-05,   1.844043432e-08,   0.0007530381176,   0.0003062142421,       1.764427015,  -6.467641077e-05,   0.0001561863254,    8.85195727e-05,              -nan,       339.3946229,       339.1889565,       339.3669854,       340.2183355,       341.5484684,      -6.789969708,      -11.09429783,      -14.39272157,      -18.38196393,      -21.32326579,     0.07809220934,    -0.06190240991,      0.1358719499,      0.2749770583,     -0.2402568216,      -4.010385488,      -4.216001859,      -4.328516031,      -4.320462236,      -4.119298854
         26,           0,          43,      -8.751525797,      -6.291378198,      -6.575051545,      -6.569372576,      -3.407278118,       362.5755528,       1.805207534,   0.0001409335803,  -5.965655751e-05,   2.004820517e-08,   0.0006779601581,   0.0002579920521,       1.805207534,  -5.965655751e-05,   0.0001409335803,   7.807056952e-05,              -nan,       346.0548379,       345.1851953,       344.6887362,       344.5449051,       344.3727874,      -5.616392728,      -9.391973737,      -12.44914274,       -16.4397393,      -20.32854701,     0.07054547656,    -0.05351692859,      0.1188311097,      0.2448435182,     -0.2327789459,      -4.023670153,      -4.057142106,      -4.159134673,      -4.152290418,      -4.138908625
         27,           0,          40,      -8.756088391,      -6.201927598,      -6.468710885,      -6.462021258,      -3.375227281,       362.5755528,        1.85004166,   0.0001027878159,  -5.937383899e-05,   2.187079952e-08,   0.0004804343777,    0.000248843799,        1.85004166,  -5.937383899e-05,   0.0001027878159,   5.555973043e-05,              -nan,       351.9581675,       350.9874343,       350.2072799,       349.4384582,       348.2721617,      -4.131674451,      -7.203219108,      -9.799490809,      -13.42339849,      -17.79811169,     0.06200255223,    -0.03982752182,     0.09367751195,       0.196021984,     -0.2059879832,       -4.03788703,       -3.97876741,      -4.064566271,      -4.056648841,      -4.116319287
         28,           0,          38,      -8.791024197,      -6.213232523,       -6.47993819,      -6.472364046,        -3.3940706,       362.5755528,       1.885357875,   7.241360526e-05,  -6.500987294e-05,   1.773623064e-08,   0.0003187278954,   0.0002834993919,       1.885357875,  -6.500987294e-05,   7.241360526e-05,    3.84084137e-05,              -nan,       355.4586212,       354.9847276,       354.4059752,       353.6072432,       352.3321792,      -2.789357397,      -5.196576838,      -7.241608087,      -10.20448582,      -14.34807778,     0.05459383432,    -0.02661462088,     0.06779351958,      0.1413413379,     -0.1669315502,      -4.081392522,      -3.999405315,       -4.08629272,      -4.077010723,       -4.14339227
         29,           0,          35,      -8.774020183,      -6.169041475,      -6.461323441,      -6.455542167,      -3.369379352,       362.5755528,       1.904356501,   4.510530897e-05,  -3.757297634e-05,   1.133528287e-08,   0.0001715462577,   0.0001413619814,       1.904356501,  -3.757297634e-05,   4.510530897e-05,   2.368532832e-05,              -nan,       355.8140406,       356.2723524,       356.3039645,       356.0430169,       355.5502126,      -1.965309742,      -3.925165628,      -5.479635506,      -7.681720415,      -10.91756397,     0.05089705215,    -0.01806522828,     0.04552377784,      0.0989323128,      -0.127093619,      -4.072275569,      -3.963848831,      -4.076856949,      -4.069016215,      -4.126264299
         30,           0,          34,      -8.767787197,       -6.17401229,      -6.503833569,      -6.501825915,      -3.411782618,       362.5755528,       1.904218478,   4.529044621e-05,  -3.713690789e-06,   1.235861065e-08,   0.0001783017213,  -3.853950008e-05,       1.904218478,  -3.713690789e-06,   4.529044621e-05,   2.378426989e-05,              -nan,       353.2016259,       354.7754933,       355.6561468,       356.3187833,       357.2141486,      -1.835482364,      -3.661214367,      -4.908286999,      -6.455886948,      -8.404303069,     0.05225472789,    -0.01459121055,     0.03301238646,     0.07845433697,      -0.094882993,      -4.073350657,      -3.977441719,      -4.127081405,      -4.123138037,      -4.175839196
         31,           0,          34,      -8.730644456,      -6.180366363,      -6.485932713,      -6.484803499,      -3.427606544,       362.5755528,       1.882585129,   6.170572071e-05,   1.542833624e-05,   1.612755726e-08,   0.0002708277333,  -0.0001455087088,       1.882585129,   1.542833624e-05,   6.170572071e-05,   3.277712107e-05,              -nan,       348.4336554,       351.0856559,       352.8435688,       354.5488356,        357.059383,      -2.359351964,      -4.365038414,      -5.541858523,      -6.695098483,      -7.343445998,     0.05629301577,    -0.01670057956,     0.03074553773,     0.08192426368,     -0.0778289823,      -4.042818983,      -3.992930075,      -4.115331924,      -4.112663923,      -4.198502598
         32,           0,          34,      -8.756708273,      -6.202736653,      -6.352261859,      -6.488970164,      -3.435231773,       362.5755528,       1.840276977,   7.441837034e-05,    1.97797053e-05,   1.758156597e-08,   0.0003392563559,  -0.0001790048611,       1.840276977,    1.97797053e-05,   7.441837034e-05,   4.043867921e-05,              -nan,       342.5376288,       346.1120671,       348.6314041,       351.2876082,       355.2551223,      -3.348997786,      -5.780364817,      -7.098423015,      -8.165202332,      -7.834105259,     0.05835999239,    -0.02503719243,     0.03233499346,      0.1044795705,    -0.07664417155,      -4.074989185,      -4.025708029,      -3.986442878,       -4.12193974,      -4.212972306
         33,           0,          33,       -8.76220682,      -6.170101578,       -6.46529234,      -6.463020753,      -3.396850275,       362.5755528,       1.787456854,   8.562886152e-05,   1.371498382e-05,   6.897567876e-09,   0.0004002184689,  -0.0001530855824,       1.787456854,   1.371498382e-05,   8.562886152e-05,   4.790541451e-05,              -nan,       336.4379322,       340.7731849,       343.8687817,        347.261524,       352.2914322,      -4.561675396,      -7.558998845,      -9.162961244,      -10.41556339,      -9.575775579,       0.056144756,    -0.04007687916,     0.03815492165,      0.1410891742,    -0.08904910177,      -4.086210779,      -4.005269226,      -4.102960023,      -4.099476456,      -4.181688725
         34,           0,          33,      -8.749251716,      -6.156196029,      -6.463893544,      -6.462086409,      -3.374367642,       362.5755528,        1.74012353,    9.36306275e-05,  -1.370441714e-05,   4.398786261e-09,   0.0004446731068,   2.700324471e-06,        1.74012353,  -1.370441714e-05,    9.36306275e-05,   5.380688546e-05,              -nan,       330.7538108,       335.7651708,       339.2779646,       343.1834552,       348.7906041,      -5.792175646,      -9.383244737,      -11.32957054,      -12.93414434,      -12.05104529,     0.05198346243,    -0.06088128346,     0.04543630584,      0.1836588918,     -0.1084524159,      -4.078981396,      -4.006163354,        -4.1037763,      -4.101380141,      -4.167130837
         35,           0,          34,      -8.735992202,      -6.198381633,      -6.489891222,      -6.488690509,      -3.380251044,       362.5755528,       1.707516391,   0.0001089000896,  -7.133407166e-05,   1.738654276e-09,   0.0005255544753,   0.0003361212936,       1.707516391,  -7.133407166e-05,   0.0001089000896,   6.377689268e-05,              -nan,       325.7601884,       331.4755586,       335.3350127,       339.6027584,        345.377958,      -6.908874137,       -11.0416012,      -13.30964545,      -15.30187783,      -14.70452406,     0.04618076282,    -0.08563183484,     0.04961914137,      0.2274494992,     -0.1275875498,      -4.071974585,      -4.066444749,      -4.131764675,      -4.130431663,      -4.182480273
         36,           0,          35,      -8.683044179,      -6.261449083,       -6.49094862,      -6.488930246,       -3.34754313,       362.5755528,       1.688622956,   9.732591659e-05,  -0.0001458527032,   1.481583885e-09,   0.0004603698049,   0.0007696646886,       1.688622956,  -0.0001458527032,   9.732591659e-05,   5.763626289e-05,              -nan,       321.5007141,       328.0179072,       332.2354586,       336.8257413,       342.5369705,      -7.872583542,      -12.44580104,      -14.96807124,      -17.27992927,       -17.0941397,      0.0456857067,     -0.1142445691,      0.0493922979,      0.2691891337,     -0.1421278413,      -4.026053115,      -4.150993153,       -4.13494893,      -4.133041027,      -4.161159724
         37,           0,          36,      -8.670953323,      -6.341617934,      -6.571127656,      -6.567310873,      -3.329790997,       362.5755528,       1.676857235,   7.134360046e-05,  -0.0002075563523,   -1.85876893e-09,   0.0003239304372,    0.001126119536,       1.676857235,  -0.0002075563523,   7.134360046e-05,   4.254601941e-05,              -nan,       317.8065129,       325.2692807,       329.9239007,        334.892868,       340.5141417,      -8.691052382,      -13.59515717,      -16.28852028,       -18.8006788,      -18.98398639,     0.04953238017,     -0.1463696098,     0.04780944737,      0.3090862479,     -0.1512678611,      -4.021993417,      -4.255888145,      -4.217283195,      -4.213580294,      -4.156919641
         38,           0,          35,      -8.664134931,      -6.315860239,      -6.621735045,      -6.617027044,      -3.305871557,       362.5755528,       1.665253481,   4.962742889e-05,  -0.0002487024661,  -3.899210018e-09,   0.0002188688014,    0.001361475548,       1.665253481,  -0.0002487024661,   4.962742889e-05,   2.980172656e-05,              -nan,       314.3871592,       322.9426604,       328.1419627,       333.5920888,       339.2834413,      -9.383093533,      -14.52751591,      -17.32684373,      -19.92810393,      -20.34372173,     0.05478380372,     -0.1797806246,     0.04606155714,      0.3463118703,     -0.1572992998,      -4.024651859,      -4.258132504,      -4.270612359,      -4.265879322,      -4.149055022
         39,           0,          34,      -8.652226666,      -6.277558046,      -6.612444166,      -6.607209085,      -3.288948241,       362.5755528,       1.649788302,   3.933196163e-05,  -0.0002414890142,  -2.851599186e-09,   0.0001822901159,    0.001324900296,       1.649788302,  -0.0002414890142,   3.933196163e-05,    2.38406113e-05,              -nan,       310.8848617,       320.6607844,       326.5063181,       332.5351875,       338.5646906,      -9.959070727,       -15.2844172,      -18.15463374,      -20.77997719,      -21.29633107,     0.05800490462,     -0.2119819956,     0.04553123336,      0.3804320698,     -0.1619982971,      -4.024036505,      -4.250748622,      -4.264780926,      -4.259143178,      -4.151029849
         40,           0,          33,       -8.63892821,      -6.235197754,       -6.55495839,       -6.54954645,      -3.272007781,       362.5755528,       1.630661807,   2.324825342e-05,   -0.000207903432,  -3.193800279e-10,   0.0001156034094,    0.001137559129,       1.630661807,   -0.000207903432,   2.324825342e-05,    1.42569436e-05,              -nan,       306.9571737,       318.0541729,       324.6198272,       331.2859141,       337.9257393,      -10.42011144,      -15.89553005,      -18.82832052,       -21.4671005,      -22.02448677,     0.05764017161,     -0.2421977441,     0.04639958369,      0.4104873273,     -0.1672966904,      -4.024075408,      -4.241728833,      -4.211735316,      -4.205573187,      -4.155703989
         41,           0,          35,      -8.627301237,      -6.272791238,      -6.556036105,      -6.552242602,      -3.294051788,       362.5755528,       1.611328848,   1.012733105e-05,  -0.0001675043514,   3.097712462e-09,    6.19846756e-05,     0.00091193744,       1.611328848,  -0.0001675043514,   1.012733105e-05,   6.285080209e-06,              -nan,        302.379272,        314.874016,       322.1969105,       329.5146181,       336.9437733,      -10.77677709,       -16.3825557,      -19.38250822,      -22.05913288,      -22.68452996,     0.05243850842,     -0.2703659216,     0.04756061174,      0.4338531198,     -0.1748535942,      -4.027720058,      -4.314045942,      -4.218441307,      -4.213916078,      -4.201719966
