VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  
         10,           0,          99,      -5.411666618,      -2.349241497,        -3.5109044,      0.4722648757,       2.301711744,     -0.5081743339,                 0,                 0,                 0,     -0.7162116899,       2.301711744,     -0.5081743339,                 0,     -0.2207810492,        2.10300008,      -1.763365525,      -1.687921376,      -2.424380905,      -1.874227635
         11,           0,          99,      -5.381859121,      -2.320280426,      -3.515301814,      0.4956418249,       2.301661431,     -0.5113343718,                 0,                 0,                 0,     -0.7203247213,       2.301661431,     -0.5113343718,                 0,     -0.2221588131,        2.14298713,      -1.746590585,      -1.679578437,      -2.438212621,      -1.865978167
         12,           0,          99,      -5.356097751,       -2.29799393,      -3.452846542,      0.5129317808,        2.30381195,     -0.5141272976,                 0,                 0,                 0,     -0.7232378671,        2.30381195,     -0.5141272976,                 0,     -0.2231637429,       2.290949741,      -1.731679696,      -1.675049536,      -2.386171055,      -1.860086028
         13,           0,          99,      -5.365542957,      -2.310364433,      -3.386759955,       0.491655652,       2.304944144,     -0.5150560932,                 0,                 0,                 0,     -0.7245092501,       2.304944144,     -0.5150560932,                 0,     -0.2234570823,        2.36986911,      -1.751572271,      -1.701195813,      -2.330804785,      -1.893096927
         14,           0,          99,      -5.303413674,      -2.249521368,      -3.409589981,      0.5445957591,       2.302198344,     -0.5133459274,                 0,                 0,                 0,     -0.7237686812,       2.302198344,     -0.5133459274,                 0,     -0.2229807561,       2.469533417,      -1.696295318,      -1.650440139,      -2.363710676,      -1.848035711
         15,           0,          99,      -5.299376027,      -2.248034612,      -3.323181979,      0.5413441901,       2.295115234,     -0.5096610644,                 0,                 0,                 0,     -0.7211135445,       2.295115234,     -0.5096610644,                 0,     -0.2220633879,       2.471261093,      -1.699174746,      -1.656935524,      -2.285178623,      -1.859472579
         16,           0,          99,      -5.337173018,      -2.291831562,      -3.421413144,      0.4933920084,       2.285548108,     -0.5057066213,                 0,                 0,                 0,     -0.7172875574,       2.285548108,     -0.5057066213,                 0,     -0.2212627332,       2.461761899,      -1.743314048,      -1.705811112,      -2.396283888,      -1.916435399
         17,           0,          99,      -5.315762488,      -2.274147864,      -3.352047889,      0.5033030053,       2.275022376,     -0.5029073394,                 0,                 0,                 0,     -0.7129746439,       2.275022376,     -0.5029073394,                 0,      -0.221055997,       2.486811483,      -1.724102044,      -1.689266704,      -2.337635392,      -1.908757593
         18,           0,          99,      -5.486856928,      -2.439074089,      -3.476546196,      0.3446299149,       2.263011037,     -0.5015722542,                 0,                 0,                 0,     -0.7082303169,       2.263011037,     -0.5015722542,                 0,     -0.2216393318,       2.514713714,      -1.896349268,      -1.854882797,      -2.470351401,      -2.070680688
         19,           0,          99,      -5.367015975,      -2.327450559,      -3.396450398,      0.4497421881,       2.247796623,      -0.501100867,                 0,                 0,                 0,     -0.7027073832,       2.247796623,      -0.501100867,                 0,     -0.2229298068,       2.559183154,      -1.780895978,      -1.745565637,      -2.399880283,      -1.971130435
         20,           0,          99,      -5.454199874,      -2.402089924,       -3.52581641,      0.3825398746,       2.228053713,     -0.5006202165,                 0,                 0,                 0,     -0.6961277505,       2.228053713,     -0.5006202165,                 0,     -0.2246894738,       2.638718178,      -1.872619203,      -1.824686721,      -2.538930122,      -2.045642249
         21,           0,          99,      -5.530055144,       -2.48516027,      -3.443079426,      0.2966401294,       2.203730458,     -0.4995542069,                 0,                 0,                 0,     -0.6885543059,       2.203730458,     -0.4995542069,                 0,     -0.2266857115,       2.692728234,      -1.951498894,      -1.911347536,      -2.467459636,      -2.134610037
         22,           0,          99,       -5.48685963,      -2.438855444,      -3.561591183,       0.342094548,       2.175840038,     -0.4977698708,                 0,                 0,                 0,     -0.6803327305,       2.175840038,     -0.4977698708,                 0,     -0.2287713536,       2.707529218,      -1.912651537,      -1.868362655,      -2.599842447,      -2.095162365
         23,           0,          99,      -5.592995375,      -2.542556776,      -3.562127077,      0.2426723092,       2.145677261,     -0.4953659156,                 0,                 0,                 0,     -0.6718180983,       2.145677261,     -0.4953659156,                 0,      -0.230866927,       2.720380509,      -2.021704361,      -1.977321651,      -2.612285222,       -2.19952622
         24,           0,          99,       -5.74111374,       -2.69338235,      -3.789906598,     0.08874174479,       2.114277946,     -0.4924991959,                 0,                 0,                 0,     -0.6632160667,       2.114277946,     -0.4924991959,                 0,     -0.2329396648,       2.783336408,      -2.171714379,      -2.130708875,      -2.849484013,      -2.355049241
         25,           0,          99,       -5.60509845,      -2.558999057,      -3.647254037,      0.2253950597,       2.082510675,     -0.4893303216,                 0,                 0,                 0,     -0.6546260991,       2.082510675,     -0.4893303216,                 0,      -0.234971339,         2.8132435,      -2.037903394,      -1.996556767,      -2.717648897,      -2.221985828
         26,           0,          99,      -5.636638107,       -2.58562569,      -3.777617977,      0.1992082247,       2.051340713,      -0.486040826,                 0,                 0,                 0,     -0.6461570787,       2.051340713,      -0.486040826,                 0,     -0.2369381269,       2.822544732,      -2.069875686,      -2.021855491,       -2.86058675,      -2.250062677
         27,           0,          99,      -5.859145225,      -2.815710956,      -3.800679358,    -0.02997949059,       2.021846337,     -0.4828333894,                 0,                 0,                 0,      -0.637973325,       2.021846337,     -0.4828333894,                 0,      -0.238808153,       2.974676722,      -2.291065206,       -2.24975796,      -2.894476813,      -2.477723061
         28,           0,          99,      -5.705544976,      -2.662045936,      -3.860553356,      0.1153394272,       1.994961205,     -0.4798913416,                 0,                 0,                 0,     -0.6302560505,       1.994961205,     -0.4798913416,                 0,     -0.2405517162,       3.137750159,      -2.137037999,      -2.095132562,      -2.962894866,      -2.331870988
         29,           0,          99,      -5.718251314,        -2.6723317,      -3.820554305,        0.10768928,       1.971179295,     -0.4773240562,                 0,                 0,                 0,     -0.6231363965,       1.971179295,     -0.4773240562,                 0,     -0.2421515168,       3.111163815,      -2.151984203,       -2.10834303,      -2.927101819,      -2.343244971
         30,           0,          99,      -5.848310204,      -2.803112265,      -3.945467294,    -0.02232022039,       1.950509929,     -0.4751627177,                 0,                 0,                 0,     -0.6166751047,       1.950509929,     -0.4751627177,                 0,     -0.2436094842,        3.22252464,      -2.284396929,       -2.24149562,       -3.05757558,      -2.475338703
         31,           0,          99,      -5.778303242,      -2.733094694,      -3.934444252,     0.05196538659,         1.9326471,     -0.4734249739,                 0,                 0,                 0,     -0.6108790077,         1.9326471,     -0.4734249739,                 0,     -0.2449619353,       3.438595864,      -2.216023401,      -2.172693638,      -3.051834732,      -2.403381856
         32,           0,          99,       -6.04293228,      -3.008437117,       -4.14109862,     -0.2155080772,       1.917209699,     -0.4724148288,                 0,                 0,                 0,     -0.6057392906,       1.917209699,     -0.4724148288,                 0,     -0.2464074896,       3.513130639,      -2.479782311,      -2.448230456,      -3.262169297,      -2.670191203
         33,           0,          99,      -5.880246477,      -2.836332461,       -3.97383528,    -0.05152381243,       1.903903357,     -0.4735911841,                 0,                 0,                 0,     -0.6012616958,       1.903903357,     -0.4735911841,                 0,     -0.2487474915,       3.618836513,      -2.316747595,      -2.274438806,      -3.098172955,      -2.504403464
         34,           0,          99,      -5.970867859,      -2.929009321,      -4.101003854,     -0.1400973164,       1.892523478,     -0.4807691836,                 0,                 0,                 0,     -0.5975082186,       1.892523478,     -0.4807691836,                 0,     -0.2540360472,       3.663944487,      -2.406999317,      -2.364696712,      -3.225214307,      -2.590631276
         35,           0,          99,      -6.072798197,      -3.035239909,      -4.169888981,     -0.2299513525,        1.88249531,     -0.4974282296,                 0,                 0,                 0,     -0.5946476139,        1.88249531,     -0.4974282296,                 0,     -0.2642387617,       3.777575068,      -2.509588297,      -2.470609377,      -3.299150737,      -2.681076838
         36,           0,          99,       -6.00875037,      -2.969244997,      -4.102797038,     -0.1798337748,       1.872635845,     -0.5219647845,                 0,                 0,                 0,     -0.5927590342,       1.872635845,     -0.5219647845,                 0,     -0.2787326676,       3.923942407,      -2.446434352,      -2.404756664,      -3.236863897,      -2.630488696
         37,           0,          99,      -6.032860066,      -2.988411895,      -4.132269842,     -0.1931444971,       1.861749048,     -0.5480065241,                 0,                 0,                 0,     -0.5914983554,       1.861749048,     -0.5480065241,                 0,     -0.2943503716,       4.016259953,      -2.467503564,      -2.425121465,      -3.265345953,      -2.638080984
         38,           0,          99,      -6.198460692,       -3.16861754,      -4.129088317,     -0.3289191896,        1.84909134,     -0.5680404902,                 0,                 0,                 0,       -0.59007854,        1.84909134,     -0.5680404902,                 0,     -0.3071998002,       4.130726578,      -2.634757487,      -2.606804933,      -3.263164445,      -2.773770148
         39,           0,          99,      -6.228897251,      -3.205624099,      -4.113353124,     -0.3622506155,       1.834353463,     -0.5774676684,                 0,                 0,                 0,     -0.5876788979,       1.834353463,     -0.5774676684,                 0,      -0.314807195,       4.262939838,      -2.664225943,      -2.645678786,      -3.250843522,      -2.805201617
         40,           0,          99,      -6.317079943,      -3.305050832,      -4.441576481,     -0.3381139439,       1.817356105,     -0.5754824236,                 0,                 0,                 0,     -0.5837540166,       1.817356105,     -0.5754824236,                 0,     -0.3166591412,        4.49460166,      -2.752536972,      -2.745515403,      -3.586037004,      -2.780288561
         41,           0,          99,      -6.221158779,      -3.270289905,      -4.433271794,    0.008349847576,       1.797840502,     -0.5647669737,                 0,                 0,                 0,     -0.5781610201,       1.797840502,     -0.5647669737,                 0,     -0.3141363057,       4.535399996,      -2.652012435,      -2.709764947,      -3.582706316,      -2.428169265
         42,           0,          99,      -5.958327613,      -3.275570919,      -4.373665878,       0.402215537,       1.775171161,     -0.5491111273,                 0,                 0,                 0,     -0.5710955882,       1.775171161,     -0.5491111273,                 0,     -0.3093285534,        4.53483478,      -2.387542816,      -2.713602679,       -3.52757997,       -2.03222627
         43,           0,          99,      -5.678893031,      -3.426769602,      -4.239502019,      0.7119473089,       1.748777254,     -0.5315937061,                 0,                 0,                 0,     -0.5628947905,       1.748777254,     -0.5315937061,                 0,     -0.3039802266,       4.524263479,      -2.106982386,      -2.866388234,      -3.397568515,       -1.72230063
         44,           0,          99,      -5.468004522,      -3.327531262,      -4.001750105,      0.9297329005,       1.719980922,     -0.5139442909,                 0,                 0,                 0,     -0.5541372232,       1.719980922,     -0.5139442909,                 0,     -0.2988081346,       4.550893956,      -1.897328194,      -2.770687387,      -3.162034391,      -1.506850967
         45,           0,          99,      -5.324614374,      -3.378241932,      -3.802094959,       1.080148674,       1.692575576,     -0.4970003756,                 0,                 0,                 0,     -0.5457499315,       1.692575576,     -0.4970003756,                 0,     -0.2936355592,       4.565883995,      -1.756973484,      -2.826775573,      -2.965522281,      -1.361560676
         46,           0,          99,      -5.224429842,        -3.2868142,      -3.662069604,       1.184011531,       1.670213472,     -0.4814270942,                 0,                 0,                 0,      -0.538668467,       1.670213472,     -0.4814270942,                 0,     -0.2882428518,       4.583148185,       -1.65805996,      -2.741242261,       -2.82694542,      -1.260241559
         47,           0,          99,      -5.160312834,        -3.2384151,      -3.572908667,       1.248194607,       1.654266559,     -0.4678087425,                 0,                 0,                 0,     -0.5334739829,       1.654266559,     -0.4678087425,                 0,     -0.2827892156,       4.639200234,      -1.597147877,      -2.698314765,      -2.740495597,       -1.19978896
         48,           0,          99,      -5.126347859,      -3.220112286,       -3.52703903,       1.276043125,       1.644266579,     -0.4560664064,                 0,                 0,                 0,     -0.5302509261,       1.644266579,     -0.4560664064,                 0,       -0.27736768,       4.667340194,      -1.565640399,      -2.685402612,      -2.696798094,      -1.174660032
         49,           0,          99,      -5.114752089,      -3.215896229,      -3.512701061,       1.275276618,       1.638775246,     -0.4455614447,                 0,                 0,                 0,     -0.5286646371,       1.638775246,     -0.4455614447,                 0,     -0.2718868532,       4.776805657,      -1.556503713,        -2.6863017,      -2.684481592,      -1.179373005
         50,           0,          99,      -5.117597349,      -3.230484573,      -3.520209939,       1.255354583,       1.636012591,     -0.4355335613,                 0,                 0,                 0,     -0.5281528076,       1.636012591,     -0.4355335613,                 0,     -0.2662165094,       4.797092072,      -1.561832864,      -2.704932756,      -2.693426879,      -1.201742299
         51,           0,          99,      -5.127504352,      -3.244128332,      -3.538675746,       1.225372687,       1.634389297,     -0.4254836836,                 0,                 0,                 0,     -0.5281442135,       1.634389297,     -0.4254836836,                 0,     -0.2603319078,       4.791886952,      -1.570974688,      -2.720614692,      -2.713633548,       -1.23017679
         52,           0,          99,      -5.138099378,      -3.244907238,      -3.559466027,       1.193511749,        1.63285153,      -0.415308949,                 0,                 0,                 0,     -0.5282045405,        1.63285153,      -0.415308949,                 0,     -0.2543458125,       4.861989494,      -1.579827869,      -2.722863276,      -2.735804847,      -1.260881608
         53,           0,          99,      -5.144453672,      -3.274697711,      -3.584366404,        1.16692985,       1.630889113,     -0.4052955545,                 0,                 0,                 0,     -0.5280858859,       1.630889113,     -0.4052955545,                 0,     -0.2485120241,       4.849638664,      -1.585996252,      -2.754629298,      -2.762067579,      -1.286925904
         54,           0,          99,      -5.142164268,      -3.266932302,      -3.597901818,        1.15172953,       1.628311179,     -0.3959175014,                 0,                 0,                 0,     -0.5276692162,       1.628311179,     -0.3959175014,                 0,      -0.243146093,       4.783058444,      -1.583443808,      -2.749729974,      -2.776341086,      -1.301061211
         55,           0,          99,      -5.129753933,       -3.24903868,      -3.599980671,       1.151686879,       1.625011618,     -0.3876121977,                 0,                 0,                 0,     -0.5268813704,       1.625011618,     -0.3876121977,                 0,     -0.2385288778,       4.807134519,      -1.571856516,      -2.735292613,      -2.778810745,      -1.302546776
         56,           0,          99,      -5.109584226,      -3.217319554,      -3.590740351,       1.164954001,       1.620879253,     -0.3806003613,                 0,                 0,                 0,     -0.5256436558,       1.620879253,     -0.3806003613,                 0,     -0.2348110512,       4.755519734,      -1.554191176,      -2.707455533,      -2.769130312,      -1.292401785
         57,           0,          99,      -5.086644497,      -3.184486759,      -3.574950104,       1.184597046,       1.615798967,      -0.374817436,                 0,                 0,                 0,     -0.5238679249,       1.615798967,      -0.374817436,                 0,     -0.2319703402,       4.766342527,      -1.532924933,      -2.678420874,      -2.752177942,      -1.273814513
         58,           0,          99,      -5.065861359,      -3.160187737,      -3.559596695,       1.202737912,       1.609730908,     -0.3700195242,                 0,                 0,                 0,     -0.5215081495,       1.609730908,     -0.3700195242,                 0,     -0.2298642105,       4.670845761,      -1.513298944,       -2.65767314,      -2.736384268,      -1.256042445
         59,           0,          99,      -5.049036868,      -3.144113495,      -3.546261953,       1.215979294,       1.602775021,     -0.3659579446,                 0,                 0,                 0,     -0.5186123017,       1.602775021,     -0.3659579446,                 0,     -0.2283277066,       4.582144863,      -1.497827649,      -2.644902292,      -2.725102205,      -1.244288968
         60,           0,          99,      -5.036091515,      -3.134603315,      -3.535763165,       1.224078437,       1.595183523,     -0.3624830417,                 0,                 0,                 0,     -0.5153190097,       1.595183523,     -0.3624830417,                 0,      -0.227235949,       4.606734817,      -1.487538322,      -2.638599682,      -2.718212435,       -1.23913887
         61,           0,          99,      -5.026297449,      -3.129353776,      -3.528116994,       1.228056832,       1.587223533,     -0.3595258075,                 0,                 0,                 0,     -0.5117943029,       1.587223533,     -0.3595258075,                 0,     -0.2265123973,       4.559007953,      -1.479502407,      -2.636482134,      -2.712425476,      -1.236748084
         62,           0,          99,       -5.01891668,      -3.126659104,      -3.523096512,       1.229017523,       1.579037937,     -0.3569882341,                 0,                 0,                 0,     -0.5081513217,       1.579037937,     -0.3569882341,                 0,     -0.2260795804,       4.568459077,      -1.472957608,      -2.636754252,      -2.707073312,      -1.236081079
         63,           0,          99,      -5.013394818,      -3.125523933,      -3.520374484,       1.227748015,       1.570630588,     -0.3547040414,                 0,                 0,                 0,     -0.5044326891,       1.570630588,     -0.3547040414,                 0,     -0.2258354346,       4.538766482,      -1.468313412,      -2.638698473,      -2.703853442,      -1.237766856
         64,           0,          99,      -5.009292446,      -3.125353521,      -3.519553175,       1.224792633,       1.562035195,     -0.3525148582,                 0,                 0,                 0,     -0.5006759239,       1.562035195,     -0.3525148582,                 0,     -0.2256766424,        4.50388157,      -1.466421837,      -2.641705239,      -2.704940885,      -1.242800151
         65,           0,          99,      -5.006220264,       -3.12567932,      -3.520218821,       1.220586636,       1.553503588,     -0.3503574112,                 0,                 0,                 0,     -0.4969964793,       1.553503588,     -0.3503574112,                 0,     -0.2255272623,       4.279585162,      -1.466861435,      -2.645317459,      -2.709841344,      -1.250617745
         66,           0,          99,      -5.003833869,       -3.12603725,      -3.521985137,        1.21552962,       1.545543656,     -0.3483003148,                 0,                 0,                 0,     -0.4936200382,       1.545543656,     -0.3483003148,                 0,     -0.2253577978,       4.051283292,      -1.468428466,      -2.649279951,      -2.716758346,      -1.259733172
         67,           0,          99,      -5.001820536,      -3.125966377,      -3.524484537,       1.210038592,       1.538842202,     -0.3465282715,                 0,                 0,                 0,     -0.4908342691,       1.538842202,     -0.3465282715,                 0,      -0.225187658,        3.88716054,      -1.470324606,       -2.65319001,      -2.724514126,      -1.269315285
         68,           0,          99,      -4.999872832,      -3.125085505,      -3.527338188,       1.204572363,       1.534095801,     -0.3452957189,                 0,                 0,                 0,      -0.488900645,       1.534095801,     -0.3452957189,                 0,     -0.2250809361,        3.79231642,      -1.472683898,      -2.656164528,      -2.733588041,      -1.279282891
         69,           0,          99,      -4.997687832,      -3.123155548,      -3.530121486,       1.199608872,       1.531745174,     -0.3448133986,                 0,                 0,                 0,     -0.4879488206,       1.531745174,     -0.3448133986,                 0,      -0.225111464,         3.8270088,      -1.474525417,      -2.657918494,       -2.74312359,      -1.288697577
         70,           0,          99,       -4.99495069,      -3.120028646,      -3.532342628,        1.19562651,       1.531767386,      -0.345151909,                 0,                 0,                 0,     -0.4879323013,       1.531767386,      -0.345151909,                 0,      -0.225329193,       3.898787017,      -1.475181899,      -2.658507968,      -2.751592414,       -1.29676472
         71,           0,          99,       -4.99128977,      -3.115555036,      -3.533458721,       1.193115375,       1.533720456,     -0.3461909455,                 0,                 0,                 0,     -0.4886696892,       1.533720456,     -0.3461909455,                 0,     -0.2257197158,       3.935738684,      -1.474079619,      -2.657915426,       -2.75809873,      -1.302800117
         72,           0,          99,      -4.986336723,       -3.10949374,       -3.53293524,       1.192505887,       1.537001035,      -0.347663343,                 0,                 0,                 0,     -0.4899483859,       1.537001035,      -0.347663343,                 0,     -0.2261959068,        3.98045257,      -1.471756103,      -2.655959993,       -2.76225407,      -1.306866406
         73,           0,          99,      -4.979718733,      -3.101498351,      -3.530279656,       1.194178792,       1.541094822,     -0.3492608177,                 0,                 0,                 0,     -0.4916090545,       1.541094822,     -0.3492608177,                 0,     -0.2266316211,       4.011920477,       -1.46858277,      -2.652483437,      -2.764150463,      -1.309226303
         74,           0,          99,      -4.971085396,      -3.091274756,      -3.525114605,       1.198459388,       1.545664018,     -0.3507901477,                 0,                 0,                 0,     -0.4935617099,       1.545664018,     -0.3507901477,                 0,     -0.2269510991,       4.061391232,      -1.464376537,      -2.647225245,      -2.764468122,      -1.309994993
         75,           0,          99,      -4.960206932,      -3.078784416,      -3.517273042,       1.205526611,       1.550508182,     -0.3523709148,                 0,                 0,                 0,     -0.4957492221,       1.550508182,     -0.3523709148,                 0,     -0.2272615642,       4.113513645,      -1.458282425,      -2.639674787,      -2.763038947,      -1.308529734
         76,           0,          99,      -4.946963233,      -3.063705316,      -3.507001462,       1.215500219,       1.555515879,     -0.3545890858,                 0,                 0,                 0,     -0.4981010583,       1.555515879,     -0.3545890858,                 0,      -0.227955941,         4.1946735,      -1.450092094,      -2.629499323,      -2.759133033,      -1.304247455
         77,           0,          99,       -4.93127483,      -3.045553864,      -3.493690196,       1.228521472,       1.560662562,     -0.3585189545,                 0,                 0,                 0,     -0.5005291011,       1.560662562,     -0.3585189545,                 0,     -0.2297222752,       4.294435886,      -1.439137032,      -2.616271122,      -2.751173567,       -1.29646248
         78,           0,          99,       -4.91332631,       -3.02446106,      -3.477452299,       1.244467588,       1.566058951,     -0.3654275931,                 0,                 0,                 0,     -0.5029679133,       1.566058951,     -0.3654275931,                 0,     -0.2333421695,       4.328993448,      -1.426012876,       -2.60032573,      -2.740318957,      -1.286058816
         79,           0,          99,      -4.893617521,      -3.003221785,      -3.458969976,       1.262794385,       1.571995031,     -0.3760249761,                 0,                 0,                 0,     -0.5054540238,       1.571995031,     -0.3760249761,                 0,     -0.2392023948,       4.326877851,      -1.410606376,       -2.58426751,      -2.727010622,      -1.273118525
         80,           0,          99,      -4.872786716,      -2.981997159,      -3.439538503,       1.282758364,       1.578928214,     -0.3895493796,                 0,                 0,                 0,     -0.5081879475,       1.578928214,     -0.3895493796,                 0,        -0.2467176,       4.434282103,       -1.39331831,      -2.567901662,      -2.712014357,      -1.257850296
         81,           0,          99,      -4.851423281,      -2.961028527,      -3.419486492,       1.303630981,       1.587375597,     -0.4036376459,                 0,                 0,                 0,     -0.5115037358,       1.587375597,     -0.4036376459,                 0,     -0.2542798608,       4.575618404,      -1.374889195,      -2.551609301,      -2.695548414,      -1.241063784
         82,           0,          99,      -4.830042069,      -2.940899167,      -3.399265258,         1.3247341,        1.59773676,      -0.415399929,                 0,                 0,                 0,     -0.5157367913,        1.59773676,      -0.415399929,                 0,     -0.2599927218,       4.786149471,      -1.356556396,       -2.53638668,      -2.679413842,      -1.224300829
         83,           0,          99,      -4.808986273,      -2.922210818,      -3.379305022,       1.345565368,         1.6100906,     -0.4228188514,                 0,                 0,                 0,     -0.5210534398,         1.6100906,     -0.4228188514,                 0,     -0.2626056269,       4.854015516,       -1.33879329,      -2.522801078,      -2.664306028,      -1.208187234
         84,           0,          99,      -4.788392519,      -2.905232398,      -3.359779654,       1.365846613,       1.624051962,     -0.4254114125,                 0,                 0,                 0,     -0.5273482835,       1.624051962,     -0.4254114125,                 0,      -0.261944459,       4.823262575,      -1.321313688,      -2.510922641,      -2.649152438,      -1.192456236
         85,           0,          99,       -4.76814016,       -2.88992639,      -3.340558532,       1.385577181,       1.638782148,     -0.4239770941,                 0,                 0,                 0,     -0.5342612004,       1.638782148,     -0.4239770941,                 0,      -0.258714738,       4.815957338,      -1.303983467,      -2.500701924,      -2.632267206,      -1.176667541
         86,           0,          99,       -4.74785389,      -2.876038168,      -3.321137327,       1.405016261,       1.653192255,     -0.4199734674,                 0,                 0,                 0,     -0.5412915296,       1.653192255,     -0.4199734674,                 0,     -0.2540378871,       4.797763603,      -1.286506182,      -2.492167989,      -2.613248752,      -1.160786739
         87,           0,          99,       -4.72675754,      -2.863097655,      -3.300505916,       1.424899359,       1.666243889,     -0.4149604364,                 0,                 0,                 0,     -0.5479512797,       1.666243889,     -0.4149604364,                 0,     -0.2490394349,       4.777300208,      -1.268300703,      -2.484820527,      -2.592573155,      -1.144622019
         88,           0,          99,      -4.703650058,      -2.850356093,      -3.277131461,       1.446582068,        1.67717243,      -0.410227699,                 0,                 0,                 0,     -0.5538770824,        1.67717243,      -0.410227699,                 0,     -0.2445948262,       4.757040553,      -1.248659256,      -2.477620117,      -2.570061908,      -1.127365998
         89,           0,          99,      -4.677169072,      -2.836762829,      -3.249330204,       1.471882155,        1.68551791,     -0.4065690404,                 0,                 0,                 0,     -0.5588526404,        1.68551791,     -0.4065690404,                 0,     -0.2412131238,       4.783803611,      -1.226735358,      -2.469344697,      -2.544707971,      -1.107470429
         90,           0,          99,      -4.646607324,      -2.821237036,      -3.216264475,       1.502106242,       1.691005099,     -0.4042509438,                 0,                 0,                 0,      -0.562760844,       1.691005099,     -0.4042509438,                 0,     -0.2390595652,       4.717055479,      -1.201559432,       -2.45896401,      -2.515269108,      -1.083232164
         91,           0,          99,      -4.612937597,      -2.803323674,      -3.179170017,        1.53652822,       1.693435525,     -0.4032160973,                 0,                 0,                 0,     -0.5655200031,       1.693435525,     -0.4032160973,                 0,      -0.238105373,       4.675600842,      -1.173265881,      -2.446176151,      -2.481939623,       -1.05455433
         92,           0,          99,      -4.579074188,      -2.783863031,      -3.141633949,       1.571708947,       1.692693483,     -0.4034324952,                 0,                 0,                 0,     -0.5670500259,       1.692693483,     -0.4034324952,                 0,     -0.2383375959,       4.714359371,      -1.144186911,      -2.431891423,      -2.447487257,      -1.024438235
